provider_number,year,state,state_name,uncomp_care,uncomp_care_m,expand_year,expand_ever,expanded,date_adopted,post,treat,time_to_treat,time_to_treat_bin
010027,2013,AL,Alabama,22086.0,0.022086,,0,0,,0,0,0,0
010029,2011,AL,Alabama,15536459.0,15.536459,,0,0,,0,0,0,0
010029,2012,AL,Alabama,15593404.0,15.593404,,0,0,,0,0,0,0
010029,2013,AL,Alabama,20017958.0,20.017958,,0,0,,0,0,0,0
010029,2014,AL,Alabama,20743991.0,20.743991,,0,0,,1,0,0,0
010029,2015,AL,Alabama,15809688.0,15.809688,,0,0,,1,0,0,0
010029,2016,AL,Alabama,14148549.0,14.148549,,0,0,,1,0,0,0
010029,2017,AL,Alabama,16359119.0,16.359119,,0,0,,1,0,0,0
010029,2018,AL,Alabama,17702863.0,17.702863,,0,0,,1,0,0,0
010032,2011,AL,Alabama,24559.0,0.024559,,0,0,,0,0,0,0
010032,2012,AL,Alabama,1139507.0,1.139507,,0,0,,0,0,0,0
010032,2013,AL,Alabama,972855.0,0.972855,,0,0,,0,0,0,0
010032,2014,AL,Alabama,719034.0,0.719034,,0,0,,1,0,0,0
010032,2015,AL,Alabama,1060098.0,1.060098,,0,0,,1,0,0,0
010032,2016,AL,Alabama,1300716.0,1.300716,,0,0,,1,0,0,0
010032,2017,AL,Alabama,1057202.0,1.057202,,0,0,,1,0,0,0
010032,2018,AL,Alabama,1959552.0,1.959552,,0,0,,1,0,0,0
010033,2011,AL,Alabama,39464636.0,39.464636,,0,0,,0,0,0,0
010033,2012,AL,Alabama,104050604.0,104.050604,,0,0,,0,0,0,0
010033,2013,AL,Alabama,112697994.0,112.697994,,0,0,,0,0,0,0
010033,2014,AL,Alabama,107689627.0,107.689627,,0,0,,1,0,0,0
010033,2015,AL,Alabama,70884105.0,70.884105,,0,0,,1,0,0,0
010033,2016,AL,Alabama,68353889.0,68.353889,,0,0,,1,0,0,0
010033,2017,AL,Alabama,108110316.0,108.110316,,0,0,,1,0,0,0
010033,2018,AL,Alabama,128781551.0,128.781551,,0,0,,1,0,0,0
010034,2011,AL,Alabama,446722.0,0.446722,,0,0,,0,0,0,0
010034,2012,AL,Alabama,2124298.0,2.124298,,0,0,,0,0,0,0
010034,2013,AL,Alabama,2091435.0,2.091435,,0,0,,0,0,0,0
